TStamp Australia/Sydney	Latitude [deg]	Longitude [deg]	Altitude [above WGS84]	Accuracy [m 68% confidence radius]
1487835042000	-37.814235	145.160778	120.100000	5.500000
1487835043000	-37.814235	145.160778	120.100000	5.500000
1487835044000	-37.814235	145.160778	120.100000	5.500000
1487835045000	-37.814235	145.160778	120.100000	5.500000
1487835046000	-37.814235	145.160778	120.100000	5.500000
1487835047000	-37.814235	145.160778	120.100000	5.400000
1487835048000	-37.814235	145.160778	120.100000	5.400000
1487835049000	-37.814235	145.160778	120.100000	5.400000
1487835050000	-37.814235	145.160778	120.100000	5.400000
1487835051000	-37.814235	145.160778	120.100000	5.400000
1487835052000	-37.814235	145.160778	120.100000	5.400000
1487835053000	-37.814235	145.160778	120.100000	5.400000
1487835054000	-37.814235	145.160778	120.100000	5.400000
1487835055000	-37.814230	145.160728	120.600000	5.400000
1487835056000	-37.814230	145.160728	120.700000	5.400000
1487835057000	-37.814228	145.160737	120.700000	5.400000
1487835058000	-37.814222	145.160745	120.800000	5.400000
1487835059000	-37.814222	145.160745	120.800000	5.400000
1487835060000	-37.814222	145.160745	120.800000	5.400000
1487835061000	-37.814222	145.160745	120.800000	5.400000
1487835062000	-37.814222	145.160745	120.800000	5.400000
1487835063000	-37.814222	145.160745	120.800000	5.400000
1487835064000	-37.814222	145.160745	120.800000	5.400000
1487835065000	-37.814222	145.160745	120.800000	5.200000
1487835066000	-37.814222	145.160745	120.800000	5.200000
1487835067000	-37.814222	145.160745	120.800000	5.200000
1487835068000	-37.814222	145.160745	120.800000	5.300000
1487835069000	-37.814222	145.160745	120.800000	5.300000
1487835070000	-37.814222	145.160745	120.800000	5.300000
1487835071000	-37.814222	145.160745	120.800000	5.300000
1487835072000	-37.814222	145.160745	120.800000	5.400000
1487835073000	-37.814222	145.160745	120.800000	5.400000
1487835074000	-37.814222	145.160745	120.800000	5.400000
1487835075000	-37.814222	145.160745	120.800000	5.200000
1487835076000	-37.814222	145.160745	120.800000	5.300000
1487835077000	-37.814222	145.160745	120.800000	5.300000
1487835078000	-37.814233	145.160772	121.100000	5.300000
1487835079000	-37.814240	145.160767	121.100000	5.400000
1487835080000	-37.814247	145.160772	121.000000	5.400000
1487835081000	-37.814250	145.160777	120.900000	5.400000
1487835082000	-37.814247	145.160778	120.900000	5.400000
1487835083000	-37.814247	145.160780	120.800000	5.400000
1487835084000	-37.814247	145.160780	120.800000	5.400000
1487835085000	-37.814248	145.160778	120.800000	5.500000
1487835086000	-37.814253	145.160780	120.800000	5.500000
1487835087000	-37.814257	145.160778	120.800000	5.500000
1487835088000	-37.814255	145.160778	120.900000	5.200000
1487835089000	-37.814253	145.160777	120.900000	5.300000
1487835090000	-37.814250	145.160773	121.000000	5.300000
1487835091000	-37.814243	145.160773	121.100000	5.300000
1487835092000	-37.814242	145.160773	121.200000	5.400000
1487835093000	-37.814238	145.160780	121.300000	5.400000
1487835094000	-37.814233	145.160778	121.400000	5.400000
1487835095000	-37.814223	145.160782	121.500000	5.400000
1487835096000	-37.814220	145.160778	121.600000	5.400000
1487835097000	-37.814218	145.160780	121.800000	5.400000
1487835098000	-37.814215	145.160783	121.900000	5.500000
1487835099000	-37.814218	145.160775	122.000000	5.500000
1487835100000	-37.814217	145.160778	122.100000	5.500000
1487835101000	-37.814217	145.160785	122.100000	5.500000
1487835102000	-37.814217	145.160778	122.000000	5.500000
1487835103000	-37.814217	145.160778	122.000000	5.500000
1487835104000	-37.814218	145.160780	122.100000	5.500000
1487835105000	-37.814222	145.160780	122.100000	5.500000
1487835106000	-37.814222	145.160780	122.100000	5.500000
1487835107000	-37.814222	145.160780	122.100000	5.500000
1487835108000	-37.814222	145.160780	122.100000	5.500000
1487835109000	-37.814222	145.160780	122.100000	5.500000
1487835110000	-37.814230	145.160795	122.200000	5.500000
1487835111000	-37.814235	145.160798	122.200000	5.500000
1487835112000	-37.814238	145.160802	122.300000	5.500000
1487835113000	-37.814240	145.160812	122.300000	5.500000
1487835114000	-37.814247	145.160808	122.400000	5.500000
1487835115000	-37.814252	145.160810	122.400000	5.500000
1487835116000	-37.814255	145.160812	122.400000	5.500000
1487835117000	-37.814255	145.160812	122.400000	5.500000
1487835118000	-37.814255	145.160812	122.400000	5.500000
1487835119000	-37.814255	145.160812	122.400000	5.500000
1487835120000	-37.814255	145.160812	122.400000	5.500000
1487835121000	-37.814255	145.160812	122.400000	5.500000
1487835122000	-37.814255	145.160812	122.400000	5.500000
1487835123000	-37.814255	145.160812	122.400000	5.500000
1487835124000	-37.814255	145.160812	122.400000	5.500000
1487835125000	-37.814255	145.160812	122.400000	5.500000
1487835126000	-37.814255	145.160812	122.400000	5.500000
1487835127000	-37.814255	145.160812	122.400000	5.500000
1487835128000	-37.814255	145.160812	122.400000	5.500000
1487835129000	-37.814255	145.160812	122.400000	5.500000
1487835130000	-37.814255	145.160812	122.400000	5.500000
1487835131000	-37.814255	145.160812	122.400000	5.500000
1487835132000	-37.814255	145.160812	122.400000	5.500000
1487835133000	-37.814255	145.160812	122.400000	5.500000
1487835134000	-37.814255	145.160812	122.400000	5.200000
1487835135000	-37.814255	145.160812	122.400000	5.200000
1487835136000	-37.814255	145.160812	122.400000	5.300000
1487835137000	-37.814255	145.160812	122.400000	5.300000
1487835138000	-37.814255	145.160812	122.400000	5.300000
1487835139000	-37.814255	145.160812	122.400000	5.300000
1487835140000	-37.814255	145.160812	122.400000	5.400000
1487835141000	-37.814255	145.160812	122.400000	5.400000
1487835142000	-37.814255	145.160812	122.400000	5.400000
1487835143000	-37.814255	145.160812	122.400000	5.400000
1487835144000	-37.814255	145.160812	122.400000	5.400000
1487835145000	-37.814255	145.160812	122.400000	5.400000
1487835146000	-37.814255	145.160812	122.400000	5.500000
1487835147000	-37.814255	145.160812	122.400000	5.500000
1487835148000	-37.814277	145.160827	122.400000	5.500000
1487835149000	-37.814277	145.160823	122.300000	5.500000
1487835150000	-37.814275	145.160817	122.300000	5.500000
1487835151000	-37.814280	145.160815	122.300000	5.500000
1487835152000	-37.814280	145.160815	122.300000	5.500000
1487835153000	-37.814280	145.160815	122.300000	5.500000
1487835154000	-37.814280	145.160815	122.300000	5.500000
1487835155000	-37.814280	145.160815	122.300000	5.500000
1487835156000	-37.814280	145.160815	122.300000	5.500000
1487835157000	-37.814280	145.160815	122.300000	5.500000
1487835158000	-37.814280	145.160815	122.300000	5.500000
1487835159000	-37.814280	145.160815	122.300000	5.500000
1487835160000	-37.814280	145.160815	122.300000	5.500000
1487835161000	-37.814280	145.160815	122.300000	5.500000
1487835162000	-37.814280	145.160815	122.300000	5.500000
1487835163000	-37.814280	145.160815	122.300000	5.500000
1487835164000	-37.814280	145.160815	122.300000	5.500000
1487835165000	-37.814280	145.160815	122.300000	5.500000
1487835166000	-37.814290	145.160817	122.600000	5.500000
1487835167000	-37.814298	145.160820	122.800000	5.500000
1487835168000	-37.814300	145.160817	122.900000	5.500000
1487835169000	-37.814305	145.160830	123.000000	5.500000
1487835170000	-37.814303	145.160837	123.100000	5.500000
1487835171000	-37.814302	145.160845	123.100000	5.500000
1487835172000	-37.814298	145.160850	123.100000	5.500000
1487835173000	-37.814305	145.160853	123.100000	5.500000
1487835174000	-37.814305	145.160853	123.100000	5.500000
1487835175000	-37.814308	145.160857	123.100000	5.500000
1487835176000	-37.814310	145.160852	123.100000	5.500000
1487835177000	-37.814308	145.160850	123.200000	5.500000
1487835178000	-37.814308	145.160850	123.200000	5.500000
1487835179000	-37.814308	145.160850	123.200000	5.500000
1487835180000	-37.814308	145.160850	123.200000	5.500000
1487835181000	-37.814308	145.160850	123.200000	5.500000
1487835182000	-37.814308	145.160850	123.200000	5.500000
1487835183000	-37.814308	145.160850	123.200000	5.500000
