TStamp Australia/Hobart	Latitude [deg]	Longitude [deg]	Altitude [above WGS84]	Accuracy [m 68% confidence radius]	Speed [m/s]	Bearing [deg]
1503649465000	-37.816428	145.158842	125.000000	5.500000	4.334476	195.979996
1503649466000	-37.816470	145.158832	125.100000	5.400000	4.354550	192.160004
1503649467000	-37.816517	145.158822	125.300000	5.400000	4.378227	190.940002
1503649468000	-37.816565	145.158810	125.500000	5.400000	4.437420	191.860001
1503649469000	-37.816613	145.158803	125.400000	5.400000	4.447200	190.759995
1503649470000	-37.816662	145.158797	125.500000	5.400000	4.520290	190.160004
1503649471000	-37.816703	145.158795	125.400000	5.400000	4.416831	184.649994
1503649472000	-37.816743	145.158790	125.200000	5.400000	4.431758	189.929993
1503649473000	-37.816790	145.158783	125.100000	5.400000	4.497128	188.279999
1503649474000	-37.816837	145.158775	125.000000	5.400000	4.526467	186.520004
1503649475000	-37.816877	145.158765	124.900000	5.400000	4.516687	193.130005
1503649476000	-37.816922	145.158753	124.700000	5.400000	4.574337	189.509995
1503649477000	-37.816973	145.158743	124.600000	5.400000	4.657722	187.300003
1503649478000	-37.817028	145.158728	124.100000	5.400000	4.736474	194.929993
1503649479000	-37.817075	145.158712	124.200000	5.400000	4.733386	192.130005
1503649480000	-37.817123	145.158700	124.100000	5.400000	4.792579	187.449997
1503649481000	-37.817177	145.158690	124.200000	5.400000	4.927950	188.589996
1503649482000	-37.817213	145.158680	124.200000	5.400000	4.845595	198.119995
1503649483000	-37.817262	145.158668	125.200000	5.400000	4.846624	185.850006
1503649484000	-37.817288	145.158653	126.000000	5.400000	4.624264	213.100006
1503649485000	-37.817325	145.158640	127.800000	5.400000	4.540365	194.479996
1503649486000	-37.817352	145.158628	129.300000	5.400000	4.301019	201.270004
1503649487000	-37.817378	145.158612	130.200000	5.400000	4.031819	202.419998
1503649488000	-37.817413	145.158593	131.200000	5.400000	3.774458	196.740005
1503649489000	-37.817457	145.158578	131.900000	5.400000	3.714236	192.279999
1503649490000	-37.817495	145.158565	133.000000	5.400000	3.493934	188.600006
1503649491000	-37.817520	145.158545	133.700000	5.400000	3.306061	215.229996
1503649492000	-37.817543	145.158517	134.200000	5.400000	3.315840	236.839996
1503649493000	-37.817562	145.158475	134.300000	5.400000	3.267457	264.600006
1503649494000	-37.817583	145.158425	134.100000	5.400000	3.521215	271.679993
1503649495000	-37.817590	145.158368	133.400000	5.400000	3.718353	277.459991
1503649496000	-37.817592	145.158308	133.400000	5.400000	3.981376	275.470001
1503649497000	-37.817592	145.158248	133.700000	5.400000	4.240797	273.519989
1503649498000	-37.817607	145.158198	133.400000	5.400000	4.426611	270.700012
1503649499000	-37.817612	145.158147	133.500000	5.400000	4.521320	271.200012
1503649500000	-37.817620	145.158095	133.600000	5.400000	4.691178	268.989990
1503649501000	-37.817632	145.158050	133.600000	5.400000	4.795152	263.859985
1503649502000	-37.817640	145.158003	133.700000	5.400000	4.820374	271.859985
1503649503000	-37.817640	145.157955	133.600000	5.400000	4.751401	274.260010
1503649504000	-37.817637	145.157908	133.600000	5.400000	4.616029	279.209991
1503649505000	-37.817637	145.157863	133.800000	5.400000	4.451832	277.649994
1503649506000	-37.817643	145.157823	133.800000	5.400000	4.289180	272.380005
1503649507000	-37.817645	145.157792	133.900000	5.400000	4.023583	280.850006
1503649508000	-37.817645	145.157752	134.100000	5.400000	3.866593	283.570007
1503649509000	-37.817643	145.157718	134.300000	5.400000	3.732251	279.010010
1503649510000	-37.817645	145.157682	134.500000	5.400000	3.517612	276.929993
1503649511000	-37.817645	145.157667	134.600000	5.400000	3.243779	288.600006
1503649512000	-37.817642	145.157658	134.900000	5.400000	2.959138	350.140015
1503649513000	-37.817633	145.157653	135.300000	5.400000	2.718248	2.910000
1503649514000	-37.817623	145.157645	135.700000	5.400000	2.553537	326.160004
1503649515000	-37.817615	145.157628	135.800000	5.400000	2.318309	279.059998
1503649516000	-37.817610	145.157592	135.800000	5.400000	2.149480	290.269989
1503649517000	-37.817605	145.157565	136.100000	5.400000	2.071242	294.119995
1503649518000	-37.817600	145.157538	136.400000	5.400000	1.954400	282.359985
1503649519000	-37.817612	145.157500	136.700000	5.400000	1.862780	261.619995
1503649520000	-37.817618	145.157470	137.000000	5.400000	1.775277	264.440002
1503649521000	-37.817623	145.157455	137.500000	5.400000	1.715569	255.520004
1503649522000	-37.817618	145.157438	137.700000	5.400000	1.707848	290.779999
1503649523000	-37.817613	145.157420	137.700000	5.400000	1.603360	326.660004
1503649524000	-37.817608	145.157407	137.800000	5.400000	1.453061	308.380005
1503649525000	-37.817603	145.157402	138.000000	5.400000	1.391294	322.459991
1503649526000	-37.817600	145.157382	138.000000	5.400000	1.273423	296.869995
1503649527000	-37.817603	145.157373	138.300000	5.400000	1.121065	291.570007
1503649528000	-37.817605	145.157358	138.400000	5.400000	0.978487	125.919998
1503649529000	-37.817605	145.157362	138.200000	5.400000	0.812232	85.279999
1503649530000	-37.817610	145.157373	137.900000	5.400000	0.768480	90.139999
1503649531000	-37.817618	145.157387	137.700000	5.400000	0.828703	96.760002
1503649532000	-37.817622	145.157415	137.500000	5.400000	0.921353	92.629997
1503649533000	-37.817627	145.157437	137.300000	5.400000	1.110771	99.269997
1503649534000	-37.817632	145.157460	137.100000	5.400000	1.267761	89.529999
1503649535000	-37.817637	145.157480	137.100000	5.400000	1.432472	101.449997
1503649536000	-37.817643	145.157505	137.100000	5.400000	1.618287	102.959999
1503649537000	-37.817653	145.157527	137.500000	5.400000	1.755203	105.099998
1503649538000	-37.817667	145.157533	137.500000	5.400000	1.828293	161.490005
1503649539000	-37.817687	145.157528	137.500000	5.400000	1.997122	189.410004
1503649540000	-37.817720	145.157522	137.400000	5.400000	2.232350	184.029999
1503649541000	-37.817755	145.157515	137.300000	5.400000	2.440813	184.279999
1503649542000	-37.817788	145.157512	137.200000	5.400000	2.549419	172.429993
1503649543000	-37.817817	145.157508	137.000000	5.400000	2.620965	184.550003
1503649544000	-37.817843	145.157502	136.600000	5.400000	2.706409	188.539993
1503649545000	-37.817868	145.157495	136.400000	5.400000	2.735234	186.759995
1503649546000	-37.817895	145.157493	136.300000	5.400000	2.763029	182.360001
1503649547000	-37.817927	145.157485	135.900000	5.400000	2.914872	194.570007
1503649548000	-37.817947	145.157467	135.600000	5.400000	3.004948	235.529999
1503649549000	-37.817950	145.157438	135.200000	5.400000	3.064141	273.329987
1503649550000	-37.817950	145.157402	134.500000	5.400000	3.085760	279.529999
1503649551000	-37.817947	145.157352	134.100000	5.400000	3.210323	272.779999
1503649552000	-37.817942	145.157305	133.600000	5.400000	3.277751	281.929993
1503649553000	-37.817932	145.157273	132.900000	5.400000	3.236059	291.239990
1503649554000	-37.817945	145.157263	132.900000	5.400000	3.167086	177.820007
1503649555000	-37.817957	145.157275	132.400000	5.400000	3.094510	144.669998
1503649556000	-37.817955	145.157288	132.600000	5.400000	2.945240	95.730003
1503649557000	-37.817965	145.157312	132.800000	5.400000	2.835605	113.730003
1503649558000	-37.817983	145.157343	132.800000	5.400000	2.918990	119.860001
1503649559000	-37.817998	145.157383	132.900000	5.400000	2.825825	99.620003
1503649560000	-37.818008	145.157407	133.100000	5.400000	2.504638	33.619999
1503649561000	-37.817997	145.157410	133.600000	5.400000	2.178819	323.769989
1503649562000	-37.817988	145.157393	134.100000	5.400000	2.028006	281.299988
1503649563000	-37.817975	145.157370	134.500000	5.400000	2.035212	279.540009
1503649564000	-37.817967	145.157337	134.400000	5.400000	2.121685	280.269989
1503649565000	-37.817965	145.157308	134.400000	5.400000	2.179849	262.649994
1503649566000	-37.817973	145.157293	134.100000	5.400000	2.161319	190.160004
1503649567000	-37.817980	145.157298	133.600000	5.400000	2.089257	161.339996
1503649568000	-37.817992	145.157307	133.700000	5.400000	1.942047	134.899994
1503649569000	-37.818008	145.157323	133.700000	5.400000	1.949768	143.020004
1503649570000	-37.818027	145.157323	133.800000	5.400000	2.094405	214.350006
1503649571000	-37.818032	145.157308	133.100000	5.400000	2.128891	211.949997
1503649572000	-37.818057	145.157320	132.800000	5.400000	2.262204	134.820007
1503649573000	-37.818080	145.157357	132.400000	5.400000	2.346619	102.300003
1503649574000	-37.818087	145.157400	132.300000	5.400000	2.444416	73.339996
